stats_o/std,stats_g/std,test/mean_Q,train/success_rate,stats_g/mean,stats_o/mean,epoch,train/episode,test/episode,test/success_rate
0.6911266,0.018667428,-2.8250468,0.0,0.67350453,0.3217479,0,100.0,20.0,0.0
0.7055092,0.018067736,-3.253924,0.0,0.67479956,0.31284946,1,200.0,40.0,0.0
0.75490886,0.018071502,-3.6004345,0.0,0.6744474,0.3058243,2,300.0,60.0,0.0
0.77893263,0.017996894,-3.5273845,0.0,0.67414397,0.3038309,3,400.0,80.0,0.0
0.79320955,0.018083965,-4.0811605,0.0,0.67407113,0.30127546,4,500.0,100.0,0.0
0.80718243,0.018031806,-3.360169,0.0,0.67392445,0.30112818,5,600.0,120.0,0.0
0.8186753,0.018200016,-3.2153938,0.0,0.67394644,0.30218756,6,700.0,140.0,0.0
0.82548183,0.018189965,-4.065339,0.0,0.67383474,0.3011052,7,800.0,160.0,0.0
0.8307891,0.01827136,-4.0752935,0.01,0.6739859,0.30076623,8,900.0,180.0,0.0
0.835736,0.018187923,-4.488474,0.0,0.6740217,0.30206123,9,1000.0,200.0,0.05
0.83775115,0.018088883,-4.4072866,0.0,0.674128,0.30329302,10,1100.0,220.0,0.15
0.83821464,0.018079469,-3.2098687,0.0,0.6741359,0.30430993,11,1200.0,240.0,0.15
0.8389591,0.018023727,-5.818036,0.0,0.6740545,0.30430955,12,1300.0,260.0,0.1
0.83945835,0.018021993,-4.38978,0.01,0.6739751,0.30422953,13,1400.0,280.0,0.1
0.84035903,0.018006684,-6.272319,0.01,0.6740008,0.30426574,14,1500.0,300.0,0.05
0.8410614,0.018016744,-5.804207,0.0,0.6741364,0.30489814,15,1600.0,320.0,0.0
0.8417642,0.018023236,-6.9278517,0.0,0.6742933,0.3053596,16,1700.0,340.0,0.05
0.84259003,0.017998012,-8.181729,0.0,0.67436916,0.3051772,17,1800.0,360.0,0.05
0.8429883,0.017958721,-8.816292,0.0,0.6744164,0.3051471,18,1900.0,380.0,0.15
0.84378004,0.017939512,-5.3686695,0.0,0.6745016,0.30514947,19,2000.0,400.0,0.05
0.8440184,0.017918944,-6.9909463,0.0,0.67452526,0.30497786,20,2100.0,420.0,0.2
0.8442353,0.017915849,-5.922759,0.01,0.6745299,0.30485597,21,2200.0,440.0,0.05
0.84441817,0.017867722,-7.3768096,0.0,0.67448974,0.30491206,22,2300.0,460.0,0.15
0.84501034,0.01785201,-11.80987,0.0,0.6744931,0.30475834,23,2400.0,480.0,0.05
0.84531355,0.01787183,-5.7685537,0.0,0.6744676,0.3048608,24,2500.0,500.0,0.05
0.8456756,0.017909203,-8.26341,0.01,0.6744937,0.3051267,25,2600.0,520.0,0.2
0.84591776,0.01792937,-6.597509,0.0,0.6744585,0.30501437,26,2700.0,540.0,0.25
0.8460882,0.017904418,-6.4300804,0.01,0.6744271,0.30488795,27,2800.0,560.0,0.1
0.84591305,0.017900595,-9.452173,0.0,0.6743866,0.3051766,28,2900.0,580.0,0.05
0.8462579,0.0178841,-7.1957145,0.0,0.6743825,0.30559698,29,3000.0,600.0,0.1
0.8463278,0.017868431,-8.473564,0.0,0.6743478,0.30573362,30,3100.0,620.0,0.25
0.84637284,0.017856833,-5.384258,0.0,0.67435354,0.30601072,31,3200.0,640.0,0.15
0.8458618,0.01786613,-11.181534,0.01,0.6743572,0.30625147,32,3300.0,660.0,0.1
0.8454643,0.017851131,-10.268438,0.0,0.67434007,0.30655983,33,3400.0,680.0,0.1
0.84577674,0.017867213,-10.258613,0.03,0.67432886,0.3065986,34,3500.0,700.0,0.2
0.84594196,0.017868884,-7.896344,0.01,0.67436343,0.30668125,35,3600.0,720.0,0.2
0.846031,0.017894655,-8.9037695,0.0,0.67433393,0.30682826,36,3700.0,740.0,0.15
0.84586287,0.017908359,-12.782591,0.0,0.67432296,0.30678332,37,3800.0,760.0,0.1
0.845894,0.017902058,-10.377053,0.0,0.67430764,0.30669075,38,3900.0,780.0,0.1
0.8453958,0.01790956,-11.413612,0.0,0.6743017,0.30671057,39,4000.0,800.0,0.1
0.8455252,0.01795118,-7.402092,0.0,0.6742775,0.306714,40,4100.0,820.0,0.2
0.84546566,0.017969765,-10.629011,0.01,0.6742677,0.30652592,41,4200.0,840.0,0.0
0.8452434,0.017989065,-5.5829105,0.0,0.674312,0.3065766,42,4300.0,860.0,0.1
0.8453184,0.017989803,-14.579992,0.01,0.6743428,0.30652982,43,4400.0,880.0,0.1
0.8449882,0.017998219,-7.071378,0.0,0.6743619,0.30652162,44,4500.0,900.0,0.1
0.84454817,0.018003842,-10.70692,0.0,0.67437685,0.30652982,45,4600.0,920.0,0.0
0.8438918,0.018030625,-11.337053,0.0,0.67439455,0.30655912,46,4700.0,940.0,0.1
0.84358126,0.018049296,-11.79655,0.02,0.6744156,0.30641946,47,4800.0,960.0,0.1
0.84335625,0.018085744,-8.105095,0.0,0.67442447,0.30637404,48,4900.0,980.0,0.0
0.84325457,0.018141773,-9.410072,0.0,0.67443043,0.30639505,49,5000.0,1000.0,0.05
